MAS_col,MAR_col
SITE_ID,
SITE_LOC_ID,POLYID
SITE_FY,LASTASSD
SITE_ADDR,ADDRESS
ADDR_NUM,
FULL_STR,STRTNAM
SITE_MUNI_ID,TOWNCODE
SITE_POSTAL,ZIPCODE
OWN_NAME_1,OWNNAME1
OWN_NAME_2,OWNNAME2
OWN_ADDR_1,OWNADD1
OWN_ADDR_2,OWNADD2
OWN_MUNI,OWNCITY
OWN_STATE,OWNSTATE
OWN_ZIP_1,OWNERZIP
OWN_ZIP_2,OWNERZIP2
OWN_COUNTRY,
SITE_LS_DATE,TRADATE
SITE_LS_PRICE,CONSIDR1;MORTGAG
SITE_BLD_AREA,SQFTSTRC
SITE_RES_AREA,NFMIMPVL
SITE_UNITS,BLDG_UNITS
SITE_BLDG_VAL,NFMIMPVL
LAND_VAL,NFMLNDVL
SITE_TOT_VAL,NFMTTLVL
SITE_USE_CODE,LU; RESITYP
