"table","name","ma","md"
"assess","site_id","PROP_ID",
"assess","site_loc_id","LOC_ID","polyid"
"assess","site_fy","FY","lastassd"
"assess","site_addr","SITE_ADDR","address"
"assess","site_unit","LOCATION",
"assess","addr_num","ADDR_NUM",
"assess","full_str","FULL_STR","strtnam"
"assess","site_muni_id","TOWN_ID","towncode"
"assess","site_postal","ZIP","zipcode"
"assess","site_ls_date","LS_DATE","tradate"
"assess","site_ls_price","LS_PRICE","considr1|mortgag"
"assess","site_bld_area","BLD_AREA","sqftstrc"
"assess","site_res_area","RES_AREA","nfmimpvl"
"assess","site_units","UNITS","bldg_units"
"assess","site_bld_val","BLDG_VAL","nfmimpvl"
"assess","site_land_val","LAND_VAL","nfmlndvl"
"assess","site_tot_val","TOTAL_VAL","nfmttlvl"
"assess","site_luc","USE_CODE","lu|resityp"
"assess","own_name","OWNER1","ownname1"
"assess","own_name_2",,"ownname2"
"assess","own_addr","OWN_ADDR","ownadd1"
"assess","own_unit",,"ownadd2"
"assess","own_muni","OWN_CITY","owncity"
"assess","own_state","OWN_STATE","ownstate"
"assess","own_postal","OWN_ZIP","ownerzip"
"assess","own_country","OWN_CO",
"parcel","loc_id","LOC_ID",
"parcel","muni_id","TOWN_ID",
