USE_CODE,LUC_Assign,L3_Description,USE_DESC
997V,997,Other,NA
996V,996,"Other, Non-taxable condo common land",Other non Tax C
996P,996,"Other, Non-taxable condo common land",NA
995V,995,"Other, Open Space",NA
995I,995,"Other, Open Space",OTHER OP SP IND
995C,995,"Other, Open Space",NA
993V,993,Improved County or Regional Correctional,NA
992R,992,"Improved, County or Regional, Deeds or Admin",County/Reg Deed
992I,992,"Improved, County or Regional, Deeds or Admin",county improved
991V,991,"Vacant, County or Regional",County/Regional
990V,990,121A Corporations,121A CORP
990C,990,121A Corporations,121A CORP
989V,989,"Improved , Other District",NA
989R,989,"Improved , Other District",NA
989I,989,"Improved , Other District",NA
985V,985,"Improved Municipal or Public Safety, Other City or Town",NA
985I,985,"Improved Municipal or Public Safety, Other City or Town",OTHER CITY
981V,981,"Improved, Selectmen or City Council, Other City or Town",NA
980V,980,"Vacant, Selectman or City Council, Other City or Town",NA
976V,976,NA,NA
975V,975,"Vacant, Transportation Authority",NA
974V,974,"Vacant, Utility Authority",Municipal MDL-00
973V,973,"Vacant, Housing Authority",Housing Authori
972V,972,Transportation Authority,TRANS AUTH
972I,972,Transportation Authority,TRANS AUTH
972C,972,Transportation Authority,TRANS AUTH
971V,971,"Utility Authority, Electric, Light, Sewer, Water",NA
971R,971,"Utility Authority, Electric, Light, Sewer, Water",NA
971I,971,"Utility Authority, Electric, Light, Sewer, Water",NA
971C,971,"Utility Authority, Electric, Light, Sewer, Water",NA
970V,970,Housing Authority,HSING AUTH MDL 00
970R,970,Housing Authority,NA
970M,970,Housing Authority,NA
970I,970,Housing Authority,NA
970C,970,Housing Authority,HOUSING AUTH COMM
962V,962,Other,NA
962R,962,Other,NA
962D,962,Other,NA
962C,962,Other,OTHER RELIG
961W,961,Rectory or Parsonage,REC/PARSON WATER
961V,961,Rectory or Parsonage,NA
961R,961,Rectory or Parsonage,NA
961C,961,Rectory or Parsonage,RECTORY
960V,960,"Chruch, Mosque, Synagogue, Temple, etc.",NA
960R,960,"Chruch, Mosque, Synagogue, Temple, etc.",Church Etc. MDL
960I,960,"Chruch, Mosque, Synagogue, Temple, etc.",NA
960C,960,"Chruch, Mosque, Synagogue, Temple, etc.","Church, etc. MDL"
959V,959,"Housing, Other",NA
959U,959,"Housing, Other",NA
959R,959,"Housing, Other",NA
959C,959,"Housing, Other",charitable housing comm
958V,958,"Recreation, Active Use",NA
958R,958,"Recreation, Active Use",recreation residential
958I,958,"Recreation, Active Use",recreation industrial
958C,958,"Recreation, Active Use",NA
958A,958,"Recreation, Active Use",NA
957V,957,Charitable Services,NA
957U,957,Charitable Services,CHAR SER
957R,957,Charitable Services,NA
957M,957,Charitable Services,NA
957I,957,Charitable Services,CHAR SERV IN
957C,957,Charitable Services,CHARITABLE CM CONDO
956V,956,"Libraries, Museums",LIBRARY VAC
956R,956,"Libraries, Museums",LIBRARY RES
956C,956,"Libraries, Museums",LIBRARY MDL 94
955V,955,Hospitals,NA
955R,955,Hospitals,NA
955C,955,Hospitals,HOSP
954V,954,"Function Halls, Community Centers",CHARITABLE VACANT
954R,954,"Function Halls, Community Centers",NA
954I,954,"Function Halls, Community Centers",NA
954C,954,"Function Halls, Community Centers",NA
953V,953,Cemeteries,NA
953R,953,Cemeteries,NA
953I,953,Cemeteries,NA
953C,953,Cemeteries,CEMETERY IMP
951V,951,Other,Char Other M-00
951R,951,Other,Char Other M-01
951I,951,Other,NA
951C,951,Other,Char Other M-94
951A,951,Other,NA
950V,950,"Vacant, Conservation Organizations",NA
950R,950,"Vacant, Conservation Organizations",NA
947V,947,Other,NA
946V,946,Vacant,Priv Edu M-00
