muni_id,use_code,luc
169,0101,101
008,0101,101
056,0101,101
032,0101,101
039,0101,101
073,0101,101
079,0101,101
084,0101,101
087,0101,101
120,0101,101
103,0101,101M
104,0101,101M
109,0101,101
140,0101,101
122,0101,101M
292,0101,101
167,0101,101
173,0101,101M
219,0101,101
222,0101,101M
227,0101,101
351,0101,101
266,0101,101
204,0101,101M
208,0101,101M
238,0101,101
240,0101,101
244,0101,101M
252,0101,101M
272,0101,101
306,0101,101M
307,0101,101
282,0101,101
310,0101,101
315,0101,101
347,0101,101
350,0101,101
332,0101,101
067,0101,101M
049,0101,101M
011,0101,101M
279,0101,101
225,0101,101
276,0101,101M
170,0101,101
099,0101,101
283,0101,101
275,0101,101M
295,0101,101
221,0101,101
323,0101,101M
197,0101,101
293,0101,101
294,0101,101
290,0101,101
220,0101,101
162,0101,101M
016,0101,101
141,0101,101
002,0101,101
339,0101,101
160,0101,101
028,0101,101
021,0101,101M
280,0101,101M
110,0101,101M
020,0101,101
296,0101,101
241,0101,101
057,0101,101M
134,0101,101M
211,0101,101M
256,0101,101
228,0101,101
001,0101,101M
235,0101,101M
088,0101,101
247,0101,101
206,0101,101
015,0101,101M
107,0101,101
017,0101,101
145,0101,101
064,0101,101M
115,0101,101
182,0101,101
153,0101,101M
250,0101,101
018,0101,101M
089,0101,101M
234,0101,101M
117,0101,101M
333,0101,101
111,0101,101M
072,0101,101M
176,0101,101
257,0101,101
135,0101,101
080,0101,101
146,0101,101
186,0101,101M
169,0102,102
039,0102,102
073,0102,102
049,0102,102M
221,0102,102
057,0102,102M
206,0102,102
107,0102,102
169,0103,103
056,0103,103
084,0103,103
282,0103,103
279,0103,103
294,0103,103
290,0103,103
021,0103,103M
280,0103,103M
235,0103,103M
088,0103,103
206,0103,103
064,0103,103M
182,0103,103M
169,0104,104
008,0104,104
056,0104,104
032,0104,104
039,0104,104
073,0104,104
079,0104,104
087,0104,104
120,0104,104
103,0104,104M
140,0104,104
122,0104,104M
167,0104,104
173,0104,104M
227,0104,104
351,0104,104
208,0104,104
238,0104,104
252,0104,104M
306,0104,104M
307,0104,104
082,0104,104
310,0104,104M
347,0104,104
350,0104,104
067,0104,104
049,0104,104M
279,0104,104
276,0104,104M
170,0104,104
283,0104,104
275,0104,104M
295,0104,104
197,0104,104M
293,0104,104
294,0104,104
290,0104,104
220,0104,104M
016,0104,104
141,0104,104
002,0104,104
160,0104,104
021,0104,104M
280,0104,104M
296,0104,104
057,0104,104M
134,0104,104M
211,0104,104M
001,0104,104M
235,0104,104M
088,0104,104
247,0104,104M
206,0104,104
015,0104,104M
107,0104,104M
017,0104,104
145,0104,104
064,0104,104
115,0104,104
182,0104,104
153,0104,104M
250,0104,104M
089,0104,104M
234,0104,104M
321,0104,104
117,0104,104
111,0104,104M
072,0104,104M
176,0104,104
257,0104,104
080,0104,104
186,0104,104
169,0105,105
008,0105,105
056,0105,105
073,0105,105
079,0105,105
087,0105,105
103,0105,105M
140,0105,105
167,0105,105
173,0105,105M
227,0105,105
351,0105,105
307,0105,105
082,0105,105
347,0105,105
049,0105,105M
170,0105,105
283,0105,105
275,0105,105M
295,0105,105
197,0105,105M
293,0105,105
294,0105,105
220,0105,105
016,0105,105
160,0105,105
021,0105,105M
020,0105,105
057,0105,105M
134,0105,105
211,0105,105M
088,0105,105
206,0105,105
107,0105,105
017,0105,105
145,0105,105
064,0105,105
115,0105,105
182,0105,105
153,0105,105M
321,0105,105
072,0105,105M
176,0105,105
257,0105,105
080,0105,105
186,0105,105M
169,0106,106
056,0106,106
084,0106,106
119,0106,106
140,0106,106
227,0106,106
238,0106,106
272,0106,106
315,0106,106
332,0106,106
049,0106,106
279,0106,106
225,0106,106
293,0106,106
290,0106,106
294,0106,106
021,0106,106
241,0106,106
256,0106,106
235,0106,106
088,0106,106
206,0106,106
115,0106,106
182,0106,106
250,0106,106
234,0106,013
072,0106,106
080,0106,106
182,0107,100
250,0107,100
119,0108,100
182,0108,101
169,0109,109
056,0109,109
120,0109,109
103,0109,109M
140,0109,109
292,0109,109M
167,0109,109
266,0109,109M
204,0109,109M
351,0109,109
208,0109,109
252,0109,109
272,0109,109
082,0109,109
307,0109,109
310,0109,109
315,0109,109
350,0109,109
067,0109,109
049,0109,109M
279,0109,109
283,0109,109
275,0109,109M
295,0109,109
221,0109,109
197,0109,109
290,0109,109
294,0109,109
220,0109,109
162,0109,109M
016,0109,109
002,0109,109
028,0109,109
021,0109,109M
020,0109,109
296,0109,109
241,0109,109
134,0109,109M
228,0109,109
235,0109,109M
088,0109,109
247,0109,109
206,0109,109
017,0109,109
115,0109,109
153,0109,109M
182,0109,109
089,0109,109M
234,0109,109M
117,0109,109
072,0109,109M
226,0109,109
257,0109,109
080,0109,109
146,0109,109
186,0109,109
169,010C,104
057,010C,101
073,010C,104
122,010C,100
351,010C,101M
307,010C,100
325,010C,101
225,010C,101
283,010C,101
197,010C,101
293,010C,101
002,010C,104
160,010C,100
134,010C,101
211,010C,100
001,010C,101M
206,010C,101
107,010C,101
017,010C,101
089,010C,100
329,010C,100
001,010E,104M
197,010F,105
001,010F,104M
001,010G,105M
186,010H,104M
325,010I,101
057,010J,104
307,010J,104
325,010J,104
293,010J,104
160,010J,100
296,010J,100
206,010J,104
107,010J,104
329,010J,100
197,010K,109
057,010L,104
325,010L,104
001,010M,101M
225,010R,104
182,010R,101
329,010R,100
056,010V,101
017,010V,103
182,010V,101
117,010V,100
072,010V,101M
325,010Z,105
293,010Z,105
160,010Z,100
206,010Z,105
317,011,100
182,0110,111
169,0111,111
008,0111,111
056,0111,111
032,0111,111
073,0111,111
079,0111,111
087,0111,111
103,0111,111M
292,0111,111
167,0111,111
351,0111,111
238,0111,111
252,0111,111M
307,0111,111
310,0111,111
347,0111,111
332,0111,111
067,0111,111M
049,0111,111M
011,0111,111M
170,0111,111
283,0111,111
275,0111,111M
295,0111,111
197,0111,111
293,0111,111
294,0111,111
220,0111,111
016,0111,111
160,0111,111
021,0111,111M
280,0111,111M
020,0111,111
057,0111,111M
134,0111,111M
001,0111,111M
088,0111,111
247,0111,111
206,0111,111
015,0111,111M
107,0111,111
145,0111,111
064,0111,111
115,0111,111
182,0111,111
153,0111,111M
089,0111,111M
111,0111,111M
176,0111,111
257,0111,111
080,0111,111
186,0111,111M
169,0112,112
008,0112,112
056,0112,112
073,0112,112
103,0112,112M
187,0112,112
351,0112,112
067,0112,112M
049,0112,112M
293,0112,112
016,0112,112
160,0112,112
020,0112,112
057,0112,112M
211,0112,112M
001,0112,112M
088,0112,112
247,0112,112
206,0112,112
015,0112,112M
107,0112,112M
064,0112,112
182,0112,112
153,0112,112M
111,0112,112M
176,0112,112
186,0112,112M
140,0113,013
049,0113,013
160,0113,112M
176,0113,100
160,0114,111
057,011C,111
167,011C,111
351,011C,111
274,011C,111M
307,011C,111
067,011C,111
342,011C,100
011,011C,111M
283,011C,111
295,011C,111M
293,011C,111
290,011C,100
220,011C,111M
016,011C,111M
160,011C,111
296,011C,111M
001,011C,111M
064,011C,111
329,011C,111
307,011J,112
088,011M,111
220,011Z,111M
337,012,100
200,012,120
009,012,120
169,0120,120
028,0120,120
206,0120,120
169,0121,121
103,0121,121M
167,0121,121
266,0121,102
049,0121,121
293,0121,111
160,0121,121
211,0121,013
206,0121,121
064,0121,121M
182,0121,121M
018,0121,100
169,0122,122
049,0122,122
206,0122,122
169,0123,123
049,0123,123
197,0123,123
160,0123,123
206,0123,123
169,0124,121
087,0124,100
206,0124,121
295,0125,125
197,012O,123
000,013,013
000,0130,031
169,0131,131
039,0131,131
084,0131,131
103,0131,013
140,0131,131
292,0131,131
271,0131,013
204,0131,120
307,0131,131
049,0131,013
011,0131,100
283,0131,131
295,0131,131
323,0131,100
294,0131,120
280,0131,013
020,0131,131
241,0131,131
256,0131,131
206,0131,131
015,0131,111M
064,0131,013
153,0131,013
102,0131,031
072,0131,131
135,0131,013
169,0132,132
056,0132,100
140,0132,132
167,0132,132
266,0132,013
336,0132,100
347,0132,132
279,0132,132
283,0132,132
275,0132,132
337,0132,132
220,0132,132
002,0132,132
021,0132,132
241,0132,132
256,0132,132
088,0132,132
206,0132,132
247,0132,132
015,0132,132
182,0132,132
117,0132,132
072,0132,132
257,0132,132
049,0133,013
064,0133,013
182,0133,104
169,0134,013
056,0134,013
032,0134,013
073,0134,013
140,0134,013
332,0134,013
290,0134,013
030,0134,013
077,0134,013
339,0134,013
020,0134,013
206,0134,013
232,0134,013
163,0134,013
153,0134,013
106,0134,013
207,0134,013
084,0135,013
332,0135,013
197,0135,013
290,0135,013
110,0135,013
020,0135,013
223,0136,013
239,0136,013
350,0136,013
114,0136,013
013,0136,013
110,0136,013
020,0136,013
132,0136,013
024,0136,100
192,0136,013
349,0136,013
158,0136,013
066,0136,013
074,0136,013
345,0136,013
053,0137,013
052,0137,013
031,0137,013
071,0137,013
128,0137,013
