id,town_id,district,mapctype,mapcsub,HNS
BROCKTON,"44",metrosouth,Regional Urban Centers,Major Regional Urban Centers,"1"
WINDSOR,"345",western,Rural Towns,Rural Towns,"0"
CHESTER,"59",western,Rural Towns,Rural Towns,"0"
BOSTON,"35",eastern,Inner Core,Metro Core,"1"
ASHFIELD,"13",western,Rural Towns,Rural Towns,"0"
ABINGTON,"1",metrosouth,Developing Suburbs,Maturing New England Town,"0"
WHITMAN,"338",metrosouth,Developing Suburbs,Maturing New England Town,"0"
WALES,"306",western,Rural Towns,Rural Towns,"0"
BRAINTREE,"40",metrosouth,Maturing Suburbs,Mature Suburban Towns,"0"
EVERETT,"93",northeast,Inner Core,Metro Core,"1"
FRAMINGHAM,"100",central,Regional Urban Centers,Sub-Regional Urban Center,"0"
CHESTERFIELD,"60",western,Rural Towns,Rural Towns,"0"
MIDDLEBOROUGH,"182",southeast,Developing Suburbs,Country Suburbs,"0"
SHERBORN,"269",central,Developing Suburbs,Country Suburbs,"0"
DUXBURY,"82",southeast,Maturing Suburbs,Established Suburbs and Cape Cod Towns,"0"
WENHAM,"320",northeast,Developing Suburbs,Maturing New England Town,"0"
SPRINGFIELD,"281",western,Regional Urban Centers,Major Regional Urban Centers,"0"
WILBRAHAM,"339",western,Developing Suburbs,Maturing New England Town,"0"
LAWRENCE,"149",northeast,Regional Urban Centers,Major Regional Urban Centers,"0"
RANDOLPH,"244",metrosouth,Maturing Suburbs,Mature Suburban Towns,"0"
WESTBOROUGH,"328",central,Developing Suburbs,Maturing New England Town,"0"
OAKHAM,"222",central,Rural Towns,Rural Towns,"0"
WEST BROOKFIELD,"323",central,Developing Suburbs,Country Suburbs,"0"
QUINCY,"243",metrosouth,Regional Urban Centers,Sub-Regional Urban Center,"0"
COHASSET,"65",metrosouth,Developing Suburbs,Country Suburbs,"0"
BELLINGHAM,"25",metrosouth,Developing Suburbs,Maturing New England Town,"0"
HAWLEY,"129",western,Rural Towns,Rural Towns,"0"
GRANVILLE,"112",western,Rural Towns,Rural Towns,"0"
PEPPERELL,"232",northeast,Developing Suburbs,Country Suburbs,"0"
CAMBRIDGE,"49",eastern,Inner Core,Metro Core,"0"
MOUNT WASHINGTON,"195",western,Rural Towns,Rural Towns,"0"
HULL,"142",southeast,Maturing Suburbs,Mature Suburban Towns,"0"
HARDWICK,"124",central,Rural Towns,Rural Towns,"0"
ASHBY,"12",central,Rural Towns,Rural Towns,"0"
EGREMONT,"90",western,Rural Towns,Rural Towns,"0"
MARION,"169",southeast,Developing Suburbs,Maturing New England Town,"0"
MEDFORD,"176",eastern,Inner Core,Streetcar Suburbs,"0"
DARTMOUTH,"72",southeast,Developing Suburbs,Maturing New England Town,"0"
WILLIAMSBURG,"340",western,Rural Towns,Rural Towns,"0"
HEATH,"130",western,Rural Towns,Rural Towns,"0"
BLANDFORD,"33",western,Rural Towns,Rural Towns,"0"
CLARKSBURG,"63",western,Rural Towns,Rural Towns,"0"
NORFOLK,"208",metrosouth,Developing Suburbs,Maturing New England Town,"0"
AYER,"19",northeast,Developing Suburbs,Maturing New England Town,"0"
FLORIDA,"98",western,Rural Towns,Rural Towns,"0"
SALEM,"258",northeast,Regional Urban Centers,Sub-Regional Urban Center,"0"
TEWKSBURY,"295",northeast,Maturing Suburbs,Established Suburbs and Cape Cod Towns,"0"
MONROE,"190",western,Rural Towns,Rural Towns,"0"
SHEFFIELD,"267",western,Rural Towns,Rural Towns,"0"
LEVERETT,"154",western,Rural Towns,Rural Towns,"0"
ROYALSTON,"255",central,Rural Towns,Rural Towns,"0"
HOLDEN,"134",central,Developing Suburbs,Maturing New England Town,"0"
WINTHROP,"346",eastern,Inner Core,Streetcar Suburbs,"0"
DIGHTON,"76",southeast,Developing Suburbs,Country Suburbs,"0"
HINSDALE,"132",western,Rural Towns,Rural Towns,"0"
SHUTESBURY,"272",western,Rural Towns,Rural Towns,"0"
NEWBURY,"205",northeast,Developing Suburbs,Country Suburbs,"0"
TOLLAND,"297",western,Rural Towns,Rural Towns,"0"
HUNTINGTON,"143",western,Rural Towns,Rural Towns,"0"
FOXBOROUGH,"99",metrosouth,Developing Suburbs,Maturing New England Town,"0"
WELLFLEET,"318",southeast,Maturing Suburbs,Established Suburbs and Cape Cod Towns,"0"
SOUTH HADLEY,"275",western,Developing Suburbs,Maturing New England Town,"0"
HANCOCK,"121",western,Rural Towns,Rural Towns,"0"
WORCESTER,"348",central,Regional Urban Centers,Major Regional Urban Centers,"0"
SWAMPSCOTT,"291",northeast,Maturing Suburbs,Mature Suburban Towns,"0"
MEDFIELD,"175",metrosouth,Maturing Suburbs,Established Suburbs and Cape Cod Towns,"0"
CARLISLE,"51",northeast,Developing Suburbs,Country Suburbs,"0"
LEYDEN,"156",western,Rural Towns,Rural Towns,"0"
PEMBROKE,"231",southeast,Maturing Suburbs,Established Suburbs and Cape Cod Towns,"0"
WINCHENDON,"343",central,Developing Suburbs,Country Suburbs,"0"
GROTON,"115",northeast,Developing Suburbs,Country Suburbs,"0"
ASHBURNHAM,"11",central,Developing Suburbs,Country Suburbs,"0"
CHELMSFORD,"56",northeast,Maturing Suburbs,Established Suburbs and Cape Cod Towns,"0"
BOXBOROUGH,"37",northeast,Developing Suburbs,Country Suburbs,"0"
ADAMS,"4",western,Developing Suburbs,Maturing New England Town,"0"
MILLIS,"187",metrosouth,Developing Suburbs,Maturing New England Town,"0"
WEST STOCKBRIDGE,"326",western,Rural Towns,Rural Towns,"0"
PLYMPTON,"240",southeast,Developing Suburbs,Country Suburbs,"0"
BERKLEY,"27",southeast,Developing Suburbs,Country Suburbs,"0"
DANVERS,"71",northeast,Maturing Suburbs,Mature Suburban Towns,"0"
MONTAGUE,"192",western,Developing Suburbs,Maturing New England Town,"0"
PERU,"233",western,Rural Towns,Rural Towns,"0"
RICHMOND,"249",western,Rural Towns,Rural Towns,"0"
DOUGLAS,"77",central,Developing Suburbs,Country Suburbs,"0"
YARMOUTH,"351",southeast,Maturing Suburbs,Established Suburbs and Cape Cod Towns,"0"
ALFORD,"6",western,Rural Towns,Rural Towns,"0"
DRACUT,"79",northeast,Developing Suburbs,Maturing New England Town,"0"
GROVELAND,"116",northeast,Maturing Suburbs,Established Suburbs and Cape Cod Towns,"0"
CONWAY,"68",western,Rural Towns,Rural Towns,"0"
HOLBROOK,"133",metrosouth,Maturing Suburbs,Mature Suburban Towns,"0"
WALTHAM,"308",northeast,Inner Core,Streetcar Suburbs,"0"
SAVOY,"263",western,Rural Towns,Rural Towns,"0"
WALPOLE,"307",metrosouth,Developing Suburbs,Maturing New England Town,"0"
