muni_id,use_code,use_desc,luc,desc,broad
0,000,Use code not known or nor provided.,,,Other/Unknown
23,007,Mixed Use,,,Other/Unknown
169,0101,Single Fam,101,Single-family,Residential
8,0101,Single Fam,101,Single-family,Residential
56,0101,SINGLE FAM MDL R,101,Single-family,Residential
32,0101,Single Fam,101,Single-family,Residential
39,0101,Single Fam MDL,101,Single-family,Residential
73,0101,PR RES,101,Single-family,Residential
79,0101,Bungalow,101,Single-family,Residential
84,0101,Single Fam MDL-01,101,Single-family,Residential
87,0101,Use code not known or nor provided.,101,Single-family,Residential
120,0101,Single Family Residential,101,Single-family,Residential
103,0101,Mixed-Use Residential,101M,Mixed-use -- single-family,Residential
104,0101,Mixed Used (Residential/Commercial),101M,Mixed-use -- single-family,Residential
109,0101,Single Family,101,Single-family,Residential
140,0101,Single Family Residential,101,Single-family,Residential
122,0101,single family mixed use,101M,Mixed-use -- single-family,Residential
292,0101,Single Family,101,Single-family,Residential
167,0101,SINGLE FAM,101,Single-family,Residential
173,0101,Mixed Use (Primarily Single Family Residential),101M,Mixed-use -- single-family,Residential
219,0101,RESIDNTL,101,Single-family,Residential
222,0101,Mixed use,101M,Mixed-use -- single-family,Residential
227,0101,Single Family Residential,101,Single-family,Residential
351,0101,SINGLE FAM MDL,101,Single-family,Residential
266,0101,Single Fam  MDL-01,101,Single-family,Residential
204,0101,"Mixed use, primarily Single family home",101M,Mixed-use -- single-family,Residential
208,0101,"Single Family, Multi-Use",101M,Mixed-use -- single-family,Residential
238,0101,Single Family Residential,101,Single-family,Residential
240,0101,Single Fam,101,Single-family,Residential
244,0101,Mixed use residential,101M,Mixed-use -- single-family,Residential
252,0101,Mixed use,101M,Mixed-use -- single-family,Residential
272,0101,Single Family Residential,101,Single-family,Residential
306,0101,Mixed-Use Residential,101M,Mixed-use -- single-family,Residential
307,0101,One Family,101,Single-family,Residential
282,0101,Unknown,101,Single-family,Residential
310,0101,Single Family Residential,101,Single-family,Residential
315,0101,Single Family,101,Single-family,Residential
347,0101,Single Family Residential,101,Single-family,Residential
350,0101,Single Family Residential,101,Single-family,Residential
