muni_id,muni
297,TOLLAND
050,CANTON
172,MASHPEE
164,LYNNFIELD
020,BARNSTABLE
078,DOVER
179,MENDON
141,HUDSON
335,WESTWOOD
135,HOLLAND
156,LEYDEN
143,HUNTINGTON
080,DUDLEY
287,STURBRIDGE
176,MEDFORD
049,CAMBRIDGE
097,FITCHBURG
153,LEOMINSTER
162,LUNENBURG
155,LEXINGTON
148,LANESBOROUGH
237,PLAINFIELD
109,GOSNOLD
160,LOWELL
030,BEVERLY
107,GLOUCESTER
059,CHESTER
344,WINCHESTER
188,MILLVILLE
042,BRIDGEWATER
298,TOPSFIELD
038,BOXFORD
307,WALPOLE
028,BERLIN
266,SHARON
163,LYNN
220,NORWOOD
306,WALES
274,SOMERVILLE
070,DALTON
317,WELLESLEY
199,NEEDHAM
234,PETERSHAM
246,READING
243,QUINCY
060,CHESTERFIELD
244,RANDOLPH
267,SHEFFIELD
174,MAYNARD
147,LANCASTER
076,DIGHTON
003,ACUSHNET
169,MARION
048,BURLINGTON
129,HAWLEY
149,LAWRENCE
015,ATHOL
058,CHESHIRE
092,ESSEX
309,WARE
197,NANTUCKET
295,TEWKSBURY
090,EGREMONT
046,BROOKLINE
152,LENOX
236,PITTSFIELD
093,EVERETT
301,TYNGSBOROUGH
165,MALDEN
284,STONEHAM
214,NORTHAMPTON
040,BRAINTREE
264,SCITUATE
196,NAHANT
320,WENHAM
025,BELLINGHAM
026,BELMONT
322,WEST BRIDGEWATER
051,CARLISLE
140,HUBBARDSTON
094,FAIRHAVEN
261,SANDWICH
171,MARSHFIELD
108,GOSHEN
081,DUNSTABLE
233,PERU
269,SHERBORN
182,MIDDLEBOROUGH
095,FALL RIVER
136,HOLLISTON
114,GREENFIELD
110,GRAFTON
032,BLACKSTONE
231,PEMBROKE
082,DUXBURY
035,BOSTON
067,CONCORD
345,WINDSOR
293,TAUNTON
310,WAREHAM
212,NORTH BROOKFIELD
054,CHARLTON
074,DEERFIELD
066,COLRAIN
217,NORTHFIELD
240,PLYMPTON
027,BERKLEY
145,KINGSTON
192,MONTAGUE
326,WEST STOCKBRIDGE
071,DANVERS
225,OTIS
161,LUDLOW
208,NORFOLK
338,WHITMAN
063,CLARKSBURG
228,PAXTON
277,SOUTHBOROUGH
185,MILFORD
238,PLAINVILLE
201,NEW BEDFORD
168,MARBLEHEAD
159,LONGMEADOW
112,GRANVILLE
316,WEBSTER
278,SOUTHBRIDGE
259,SALISBURY
008,AMHERST
104,AQUINNAH
062,CHILMARK
057,CHELSEA
207,NEWTON
144,IPSWICH
017,AUBURN
061,CHICOPEE
119,HAMILTON
239,PLYMOUTH
021,BARRE
034,BOLTON
312,WARWICK
096,FALMOUTH
263,SAVOY
010,ARLINGTON
124,HARDWICK
195,MOUNT WASHINGTON
012,ASHBY
142,HULL
215,NORTHBOROUGH
329,WESTFIELD
170,MARLBOROUGH
024,BELCHERTOWN
102,FREETOWN
117,HADLEY
209,NORTH ADAMS
167,MANSFIELD
029,BERNARDSTON
079,DRACUT
272,SHUTESBURY
101,FRANKLIN
332,WESTMINSTER
248,REVERE
350,WRENTHAM
018,AVON
205,NEWBURY
122,HANOVER
304,UXBRIDGE
116,GROVELAND
186,MILLBURY
230,PELHAM
305,WAKEFIELD
251,ROCKLAND
105,GEORGETOWN
052,CARVER
086,EASTHAM
178,MELROSE
166,MANCHESTER-BY-THE-SEA
290,SUTTON
100,FRAMINGHAM
137,HOLYOKE
200,NEW ASHFORD
203,NEW MARLBOROUGH
194,MONTGOMERY
265,SEEKONK
294,TEMPLETON
227,PALMER
099,FOXBOROUGH
229,PEABODY
005,AGAWAM
175,MEDFIELD
348,WORCESTER
291,SWAMPSCOTT
315,WAYLAND
189,MILTON
004,ADAMS
187,MILLIS
043,BRIMFIELD
011,ASHBURNHAM
347,WOBURN
339,WILBRAHAM
022,BECKET
113,GREAT BARRINGTON
253,ROWE
183,MIDDLEFIELD
115,GROTON
300,TRURO
343,WINCHENDON
318,WELLFLEET
007,AMESBURY
121,HANCOCK
328,WESTBOROUGH
118,HALIFAX
349,WORTHINGTON
219,NORWELL
089,EDGARTOWN
064,CLINTON
286,STOW
016,ATTLEBOROUGH
126,HARWICH
273,SOMERSET
056,CHELMSFORD
275,SOUTH HADLEY
340,WILLIAMSBURG
245,RAYNHAM
009,ANDOVER
084,EAST BROOKFIELD
280,SPENCER
342,WILMINGTON
249,RICHMOND
077,DOUGLAS
001,ABINGTON
279,SOUTHWICK
351,YARMOUTH
006,ALFORD
281,SPRINGFIELD
023,BEDFORD
014,ASHLAND
190,MONROE
222,OAKHAM
123,HANSON
177,MEDWAY
323,WEST BROOKFIELD
204,NEW SALEM
308,WALTHAM
133,HOLBROOK
232,PEPPERELL
106,GILL
075,DENNIS
154,LEVERETT
045,BROOKFIELD
211,NORTH ATTLEBOROUGH
336,WEYMOUTH
331,WESTHAMPTON
151,LEICESTER
132,HINSDALE
271,SHREWSBURY
242,PROVINCETOWN
303,UPTON
031,BILLERICA
250,ROCHESTER
125,HARVARD
235,PHILLIPSTON
319,WENDELL
330,WESTFORD
213,NORTH READING
296,TISBURY
002,ACTON
184,MIDDLETON
302,TYRINGHAM
252,ROCKPORT
221,OAK BLUFFS
257,RUTLAND
173,MATTAPOISETT
334,WESTPORT
053,CHARLEMONT
019,AYER
226,OXFORD
139,HOPKINTON
256,RUSSELL
180,MERRIMAC
325,WEST SPRINGFIELD
202,NEW BRAINTREE
073,DEDHAM
241,PRINCETON
157,LINCOLN
047,BUCKLAND
127,HATFIELD
037,BOXBOROUGH
134,HOLDEN
181,METHUEN
013,ASHFIELD
292,SWANSEA
247,REHOBOTH
270,SHIRLEY
193,MONTEREY
327,WEST TISBURY
299,TOWNSEND
346,WINTHROP
283,STOCKBRIDGE
224,ORLEANS
333,WESTON
103,GARDNER
223,ORANGE
072,DARTMOUTH
069,CUMMINGTON
111,GRANBY
150,LEE
282,STERLING
311,WARREN
146,LAKEVILLE
255,ROYALSTON
314,WATERTOWN
088,EASTON
083,EAST BRIDGEWATER
198,NATICK
044,BROCKTON
262,SAUGUS
324,WEST NEWBURY
206,NEWBURYPORT
098,FLORIDA
041,BREWSTER
260,SANDISFIELD
138,HOPEDALE
216,NORTHBRIDGE
087,EASTHAMPTON
210,NORTH ANDOVER
218,NORTON
120,HAMPDEN
289,SUNDERLAND
158,LITTLETON
128,HAVERHILL
130,HEATH
288,SUDBURY
254,ROWLEY
337,WHATELY
036,BOURNE
313,WASHINGTON
341,WILLIAMSTOWN
268,SHELBURNE
085,EAST LONGMEADOW
276,SOUTHAMPTON
191,MONSON
091,ERVING
068,CONWAY
039,BOYLSTON
065,COHASSET
258,SALEM
285,STOUGHTON
055,CHATHAM
321,WEST BOYLSTON
131,HINGHAM
033,BLANDFORD
