id,name,hns,mapc
001,ABINGTON,FALSE,FALSE
002,ACTON,FALSE,TRUE
003,ACUSHNET,FALSE,FALSE
004,ADAMS,FALSE,FALSE
005,AGAWAM,FALSE,FALSE
006,ALFORD,FALSE,FALSE
007,AMESBURY,FALSE,FALSE
008,AMHERST,FALSE,FALSE
009,ANDOVER,FALSE,FALSE
010,ARLINGTON,FALSE,TRUE
011,ASHBURNHAM,FALSE,FALSE
012,ASHBY,FALSE,FALSE
013,ASHFIELD,FALSE,FALSE
014,ASHLAND,FALSE,TRUE
015,ATHOL,FALSE,FALSE
016,ATTLEBOROUGH,FALSE,FALSE
017,AUBURN,FALSE,FALSE
018,AVON,FALSE,FALSE
019,AYER,FALSE,FALSE
020,BARNSTABLE,FALSE,FALSE
021,BARRE,FALSE,FALSE
022,BECKET,FALSE,FALSE
023,BEDFORD,FALSE,TRUE
024,BELCHERTOWN,FALSE,FALSE
025,BELLINGHAM,FALSE,TRUE
026,BELMONT,FALSE,TRUE
027,BERKLEY,FALSE,FALSE
028,BERLIN,FALSE,FALSE
029,BERNARDSTON,FALSE,FALSE
030,BEVERLY,FALSE,TRUE
031,BILLERICA,FALSE,FALSE
032,BLACKSTONE,FALSE,FALSE
033,BLANDFORD,FALSE,FALSE
034,BOLTON,FALSE,TRUE
035,BOSTON,TRUE,TRUE
036,BOURNE,FALSE,FALSE
037,BOXBOROUGH,FALSE,TRUE
038,BOXFORD,FALSE,FALSE
039,BOYLSTON,FALSE,FALSE
040,BRAINTREE,FALSE,TRUE
041,BREWSTER,FALSE,FALSE
042,BRIDGEWATER,FALSE,FALSE
043,BRIMFIELD,FALSE,FALSE
044,BROCKTON,TRUE,FALSE
045,BROOKFIELD,FALSE,FALSE
046,BROOKLINE,FALSE,TRUE
047,BUCKLAND,FALSE,FALSE
048,BURLINGTON,FALSE,TRUE
049,CAMBRIDGE,FALSE,TRUE
050,CANTON,FALSE,TRUE
051,CARLISLE,FALSE,TRUE
052,CARVER,FALSE,FALSE
053,CHARLEMONT,FALSE,FALSE
054,CHARLTON,FALSE,FALSE
055,CHATHAM,FALSE,FALSE
056,CHELMSFORD,FALSE,FALSE
057,CHELSEA,TRUE,TRUE
058,CHESHIRE,FALSE,FALSE
059,CHESTER,FALSE,FALSE
060,CHESTERFIELD,FALSE,FALSE
061,CHICOPEE,FALSE,FALSE
