state,substate,invert,substate_type,code,resityp,unit_low,unit_high
ma,,,,101,,1,1
ma,,,,104,,2,2
ma,,,,105,,3,3
ma,,,,111,,4,8
ma,,,,112,,8,
ma,,,,109,,2,
ma,,,,102,,1,1
ma,,,,114,,1,
ma,,,,990,,1,
ma,,,,0xxR,,1,
ma,bos,1,muni,970,,1,
ma,bos,0,,908,,1,
ma,bos,0,,25,,1,1
ma,bos,0,,26,,2,2
ma,bos,0,,27,,3,3
md,,,,R,SF;MH;CN;TH,1,1
md,,,,R,AP,2,
md,,,,R,<NA>,1,
md,,,,M,AP;MH;<NA>,4,
md,,,,U,TH;<NA>;CN;AP;MH,1,1
md,,,,CC,TH;<NA>;CN;AP,1,1
md,,,,TH,TH;<NA>:AP,1,
md,,,,RC,SF;MH;CN,1,1
md,,,,RC,TH;<NA>:AP,1,
md,,,,CR,<NA>;AP;TH,1,
md,,,,CR,SF;MH;CN,1,1
md,,,,E,SF;MH;CN,1,1
md,,,,E,<NA>;AP;TH,1,
